date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct
2023-01-12,160,Max & Moritz,5.0,5.0,100.0
2023-01-12,160,Max & Moritz Single-rider,,,0.0
2023-01-12,160,Monorail,,,99.0
2023-01-12,160,Nest!,,,99.0
2023-01-12,160,Pagode,5.0,5.0,71.0
2023-01-12,160,Piraña,,,0.0
2023-01-12,160,Python,,,100.0
2023-01-12,160,Python Single-rider,,,0.0
2023-01-12,160,Sirocco,5.0,5.0,100.0
2023-01-12,160,Stoomcarrousel,,,54.0
2023-01-12,160,Stoomtrein Marerijk,,,95.0
2023-01-12,160,Stoomtrein Ruigrijk,,,95.0
2023-01-12,160,Symbolica,5.0,5.0,99.0
2023-01-12,160,Symbolica Single-rider,,,0.0
2023-01-12,160,The Six Swans,5.0,5.0,84.0
2023-01-12,160,Villa Volta,5.0,5.0,100.0
2023-01-12,160,Vogel Rok,5.0,5.0,100.0
2023-01-12,160,Volkvanlaaf,,,99.0
2023-01-13,160,Anton Pieck Plein,,,99.0
2023-01-13,160,Archipel,,,83.0
2023-01-13,160,Badhuys indoor splash pool,,,42.0
2023-01-13,160,Baron 1898,6.0,15.0,67.0
2023-01-13,160,Baron 1898 Single-rider,,,0.0
2023-01-13,160,Carnaval Festival,5.0,5.0,100.0
2023-01-13,160,De Oude Tufferbaan,5.0,10.0,100.0
2023-01-13,160,De Vliegende Hollander,,,0.0
2023-01-13,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-13,160,Diorama,,,100.0
2023-01-13,160,Droomvlucht,,,0.0
2023-01-13,160,Droomvlucht VR,,,0.0
2023-01-13,160,Efteling Museum,,,85.0
2023-01-13,160,Fabula,10.0,10.0,99.0
2023-01-13,160,Fairytale Forest,,,99.0
2023-01-13,160,Fata Morgana,5.0,5.0,100.0
2023-01-13,160,Gondoletta,,,78.0
2023-01-13,160,Halve Maen,5.0,5.0,99.0
2023-01-13,160,Joris en de Draak,5.0,10.0,97.0
2023-01-13,160,Joris en de Draak Single-rider,,,0.0
2023-01-13,160,Kinderspoor,,,99.0
2023-01-13,160,Kindervreugd,,,99.0
2023-01-13,160,Kleuterhof,,,100.0
2023-01-13,160,Max & Moritz,5.0,5.0,100.0
2023-01-13,160,Max & Moritz Single-rider,,,0.0
2023-01-13,160,Monorail,,,99.0
2023-01-13,160,Nest!,,,99.0
2023-01-13,160,Pagode,5.0,5.0,84.0
2023-01-13,160,Piraña,,,0.0
2023-01-13,160,Python,5.0,10.0,100.0
2023-01-13,160,Python Single-rider,,,0.0
2023-01-13,160,Sirocco,5.0,5.0,100.0
2023-01-13,160,Stoomcarrousel,,,100.0
2023-01-13,160,Stoomtrein Marerijk,25.0,25.0,99.0
2023-01-13,160,Stoomtrein Ruigrijk,25.0,25.0,99.0
2023-01-13,160,Symbolica,9.0,20.0,100.0
2023-01-13,160,Symbolica Single-rider,5.0,5.0,99.0
2023-01-13,160,The Six Swans,5.0,5.0,92.0
2023-01-13,160,Villa Volta,5.0,5.0,100.0
2023-01-13,160,Vogel Rok,5.0,5.0,100.0
2023-01-13,160,Volkvanlaaf,,,99.0
2023-01-14,160,Anton Pieck Plein,,,99.0
2023-01-14,160,Archipel,,,73.0
2023-01-14,160,Badhuys indoor splash pool,,,100.0
2023-01-14,160,Baron 1898,6.0,15.0,100.0
2023-01-14,160,Baron 1898 Single-rider,5.0,5.0,4.0
2023-01-14,160,Carnaval Festival,7.0,15.0,100.0
2023-01-14,160,De Oude Tufferbaan,8.0,20.0,74.0
2023-01-14,160,De Vliegende Hollander,,,0.0
2023-01-14,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-14,160,Diorama,,,100.0
2023-01-14,160,Droomvlucht,,,0.0
2023-01-14,160,Droomvlucht VR,,,0.0
2023-01-14,160,Efteling Museum,,,87.0
2023-01-14,160,Fabula,10.0,10.0,100.0
2023-01-14,160,Fairytale Forest,,,99.0
2023-01-14,160,Fata Morgana,8.0,30.0,100.0
2023-01-14,160,Gondoletta,,,68.0
2023-01-14,160,Halve Maen,5.0,5.0,80.0
2023-01-14,160,Joris en de Draak,8.0,20.0,100.0
2023-01-14,160,Joris en de Draak Single-rider,5.0,5.0,25.0
2023-01-14,160,Kinderspoor,,,99.0
2023-01-14,160,Kindervreugd,,,99.0
2023-01-14,160,Kleuterhof,,,100.0
2023-01-14,160,Max & Moritz,5.0,5.0,100.0
2023-01-14,160,Max & Moritz Single-rider,,,0.0
2023-01-14,160,Monorail,5.0,5.0,99.0
2023-01-14,160,Nest!,,,99.0
2023-01-14,160,Pagode,5.0,5.0,64.0
2023-01-14,160,Piraña,,,0.0
2023-01-14,160,Python,7.0,15.0,100.0
2023-01-14,160,Python Single-rider,,,0.0
2023-01-14,160,Sirocco,5.0,5.0,100.0
2023-01-14,160,Stoomcarrousel,5.0,5.0,100.0
2023-01-14,160,Stoomtrein Marerijk,25.0,25.0,96.0
2023-01-14,160,Stoomtrein Ruigrijk,25.0,25.0,96.0
2023-01-14,160,Symbolica,18.0,30.0,99.0
2023-01-14,160,Symbolica Single-rider,5.0,5.0,99.0
2023-01-14,160,The Six Swans,5.0,5.0,73.0
2023-01-14,160,Villa Volta,5.0,5.0,100.0
2023-01-14,160,Vogel Rok,7.0,10.0,100.0
2023-01-14,160,Volkvanlaaf,,,99.0
2023-01-15,160,Anton Pieck Plein,,,100.0
2023-01-15,160,Archipel,,,77.0
2023-01-15,160,Badhuys indoor splash pool,,,100.0
2023-01-15,160,Baron 1898,16.0,35.0,95.0
2023-01-15,160,Baron 1898 Single-rider,11.0,25.0,73.0
2023-01-15,160,Carnaval Festival,16.0,25.0,100.0
2023-01-15,160,De Oude Tufferbaan,16.0,25.0,96.0
2023-01-15,160,De Vliegende Hollander,,,0.0
2023-01-15,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-15,160,Diorama,,,100.0
2023-01-15,160,Droomvlucht,,,0.0
2023-01-15,160,Droomvlucht VR,,,0.0
2023-01-15,160,Efteling Museum,,,88.0
2023-01-15,160,Fabula,10.0,10.0,100.0
2023-01-15,160,Fairytale Forest,,,100.0
2023-01-15,160,Fata Morgana,14.0,30.0,100.0
2023-01-15,160,Gondoletta,,,68.0
2023-01-15,160,Halve Maen,8.0,10.0,100.0
2023-01-15,160,Joris en de Draak,17.0,40.0,98.0
2023-01-15,160,Joris en de Draak Single-rider,8.0,30.0,93.0
2023-01-15,160,Kinderspoor,10.0,10.0,100.0
2023-01-15,160,Kindervreugd,,,100.0
2023-01-15,160,Kleuterhof,,,100.0
2023-01-15,160,Max & Moritz,6.0,15.0,100.0
2023-01-15,160,Max & Moritz Single-rider,5.0,5.0,100.0
2023-01-15,160,Monorail,5.0,10.0,100.0
2023-01-15,160,Nest!,,,100.0
2023-01-15,160,Pagode,,,6.0
2023-01-15,160,Piraña,,,0.0
2023-01-15,160,Python,22.0,40.0,93.0
2023-01-15,160,Python Single-rider,,,0.0
2023-01-15,160,Sirocco,9.0,15.0,98.0
2023-01-15,160,Stoomcarrousel,,,100.0
2023-01-15,160,Stoomtrein Marerijk,26.0,30.0,98.0
2023-01-15,160,Stoomtrein Ruigrijk,26.0,30.0,98.0
2023-01-15,160,Symbolica,29.0,40.0,87.0
2023-01-15,160,Symbolica Single-rider,8.0,35.0,86.0
2023-01-15,160,The Six Swans,8.0,15.0,97.0
2023-01-15,160,Villa Volta,8.0,20.0,100.0
2023-01-15,160,Vogel Rok,9.0,20.0,100.0
2023-01-15,160,Volkvanlaaf,,,100.0
2023-01-16,160,Anton Pieck Plein,,,99.0
2023-01-16,160,Archipel,,,85.0
2023-01-16,160,Badhuys indoor splash pool,,,42.0
2023-01-16,160,Baron 1898,5.0,5.0,100.0
2023-01-16,160,Baron 1898 Single-rider,,,0.0
2023-01-16,160,Carnaval Festival,,,100.0
2023-01-16,160,De Oude Tufferbaan,5.0,5.0,79.0
2023-01-16,160,De Vliegende Hollander,,,0.0
2023-01-16,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-16,160,Diorama,,,100.0
2023-01-16,160,Droomvlucht,,,0.0
2023-01-16,160,Droomvlucht VR,,,0.0
2023-01-16,160,Efteling Museum,,,85.0
2023-01-16,160,Fabula,10.0,10.0,99.0
2023-01-16,160,Fairytale Forest,,,99.0
2023-01-16,160,Fata Morgana,,,100.0
2023-01-16,160,Gondoletta,,,78.0
2023-01-16,160,Halve Maen,5.0,5.0,99.0
2023-01-16,160,Joris en de Draak,5.0,10.0,85.0
2023-01-16,160,Joris en de Draak Single-rider,,,0.0
2023-01-16,160,Kinderspoor,5.0,5.0,99.0
2023-01-16,160,Kindervreugd,,,99.0
2023-01-16,160,Kleuterhof,,,100.0
2023-01-16,160,Max & Moritz,5.0,5.0,100.0
2023-01-16,160,Max & Moritz Single-rider,,,0.0
2023-01-16,160,Monorail,,,99.0
2023-01-16,160,Nest!,,,99.0
2023-01-16,160,Pagode,5.0,5.0,60.0
2023-01-16,160,Piraña,,,0.0
2023-01-16,160,Python,5.0,10.0,99.0
2023-01-16,160,Python Single-rider,,,0.0
2023-01-16,160,Sirocco,5.0,5.0,95.0
2023-01-16,160,Stoomcarrousel,,,100.0
