timestamp,attraction_name,status,queue_type,wait_time
2025-11-13 15:44:50,Gondoletta,OPERATING,STANDBY,5
2025-11-13 15:44:50,De Oude Tufferbaan,OPERATING,STANDBY,5
2025-11-13 15:44:50,Python,OPERATING,STANDBY,5
2025-11-13 15:44:50,Python,OPERATING,SINGLE_RIDER,0
2025-11-13 15:44:50,Piraña,OPERATING,STANDBY,5
2025-11-13 15:44:50,Joris en de Draak,OPERATING,STANDBY,15
2025-11-13 15:44:50,Joris en de Draak,OPERATING,SINGLE_RIDER,0
2025-11-13 15:44:50,Carnaval Festival,OPERATING,STANDBY,5
2025-11-13 15:44:50,Vogel Rok,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:44:50,Baron 1898,OPERATING,STANDBY,10
2025-11-13 15:44:50,Baron 1898,OPERATING,SINGLE_RIDER,15
2025-11-13 15:44:50,Pagode,OPERATING,STANDBY,5
2025-11-13 15:44:50,Symbolica,DOWN,STANDBY,0
2025-11-13 15:44:50,Symbolica,DOWN,SINGLE_RIDER,0
2025-11-13 15:44:50,Danse Macabre,OPERATING,STANDBY,13
2025-11-13 15:44:50,Danse Macabre,OPERATING,SINGLE_RIDER,0
2025-11-13 15:49:50,Droomvlucht,OPERATING,STANDBY,20
2025-11-13 15:49:50,Fata Morgana,OPERATING,STANDBY,5
2025-11-13 15:49:50,Villa Volta,OPERATING,STANDBY,5
2025-11-13 15:49:50,De Vliegende Hollander,OPERATING,STANDBY,5
2025-11-13 15:49:50,De Vliegende Hollander,OPERATING,SINGLE_RIDER,0
2025-11-13 15:49:50,Kleuterhof,OPERATING,STANDBY,0
2025-11-13 15:49:50,Nest!,OPERATING,STANDBY,0
2025-11-13 15:49:50,Archipel,OPERATING,STANDBY,0
2025-11-13 15:49:50,Sirocco,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:49:50,Stoomtrein - Marerijk,OPERATING,STANDBY,25
2025-11-13 15:49:50,Volk van Laaf,OPERATING,STANDBY,0
2025-11-13 15:49:50,Fairytale Forest,OPERATING,STANDBY,0
2025-11-13 15:49:50,Stoomcarrousel,OPERATING,STANDBY,0
2025-11-13 15:49:50,Efteling Museum,OPERATING,STANDBY,0
2025-11-13 15:49:50,Halve Maen,OPERATING,STANDBY,5
2025-11-13 15:49:50,Stoomtrein - Oost,OPERATING,STANDBY,25
2025-11-13 15:49:50,Kinderspoor,OPERATING,STANDBY,10
2025-11-13 15:49:50,Diorama,OPERATING,STANDBY,0
2025-11-13 15:49:50,Fabula,OPERATING,STANDBY,10
2025-11-13 15:49:50,Monorail,CLOSED,STANDBY,N/A
2025-11-13 15:49:50,Kindervreugd,CLOSED,STANDBY,N/A
2025-11-13 15:49:50,Max & Moritz,OPERATING,STANDBY,5
2025-11-13 15:49:50,Max & Moritz,OPERATING,SINGLE_RIDER,0
2025-11-13 15:49:50,Anton Pieckplein,OPERATING,STANDBY,0
2025-11-13 15:49:50,Gondoletta,OPERATING,STANDBY,5
2025-11-13 15:49:50,De Oude Tufferbaan,OPERATING,STANDBY,10
2025-11-13 15:49:50,Python,OPERATING,STANDBY,0
2025-11-13 15:49:50,Python,OPERATING,SINGLE_RIDER,0
2025-11-13 15:49:50,Piraña,OPERATING,STANDBY,5
2025-11-13 15:49:50,Joris en de Draak,OPERATING,STANDBY,15
2025-11-13 15:49:50,Joris en de Draak,OPERATING,SINGLE_RIDER,0
2025-11-13 15:49:50,Carnaval Festival,OPERATING,STANDBY,5
2025-11-13 15:49:50,Vogel Rok,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:49:50,Baron 1898,OPERATING,STANDBY,10
2025-11-13 15:49:50,Baron 1898,OPERATING,SINGLE_RIDER,15
2025-11-13 15:49:50,Pagode,OPERATING,STANDBY,5
2025-11-13 15:49:50,Symbolica,DOWN,STANDBY,0
2025-11-13 15:49:50,Symbolica,DOWN,SINGLE_RIDER,0
2025-11-13 15:49:50,Danse Macabre,OPERATING,STANDBY,13
2025-11-13 15:49:50,Danse Macabre,OPERATING,SINGLE_RIDER,0
2025-11-13 15:54:51,Droomvlucht,OPERATING,STANDBY,20
2025-11-13 15:54:51,Fata Morgana,OPERATING,STANDBY,5
2025-11-13 15:54:51,Villa Volta,OPERATING,STANDBY,5
2025-11-13 15:54:51,De Vliegende Hollander,OPERATING,STANDBY,15
2025-11-13 15:54:51,De Vliegende Hollander,OPERATING,SINGLE_RIDER,0
2025-11-13 15:54:51,Kleuterhof,OPERATING,STANDBY,0
2025-11-13 15:54:51,Nest!,OPERATING,STANDBY,0
2025-11-13 15:54:51,Archipel,OPERATING,STANDBY,0
2025-11-13 15:54:51,Sirocco,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:54:51,Stoomtrein - Marerijk,OPERATING,STANDBY,25
2025-11-13 15:54:51,Volk van Laaf,OPERATING,STANDBY,0
2025-11-13 15:54:51,Fairytale Forest,OPERATING,STANDBY,0
