date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct,crowd_percent,crowd_label,temperature_forecast,temperature_actual,rain_forecast,rain_actual,wind_forecast,wind_actual,events
2025-06-22,160,Baron 1898 Single-rider,12,40,100,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Carnaval Festival,9,15,100,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Danse Macabre,27,50,100,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Danse Macabre Single-rider,NA,NA,100,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,De Oude Tufferbaan,NA,NA,0,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,De Vliegende Hollander,21,35,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,De Vliegende Hollander Single-rider,14,25,30,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Droomvlucht,20,35,96,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Fabula,10,10,100,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Fata Morgana,NA,NA,0,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Gondoletta,14,25,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Halve Maen,5,10,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Joris en de Draak,18,40,94,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Joris en de Draak Single-rider,7,15,45,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Kinderspoor,9,25,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Max & Moritz,6,25,92,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Max & Moritz Single-rider,5,10,91,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Monorail,12,20,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Pagode,5,5,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Piraña,26,40,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Python,9,20,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Python Single-rider,8,15,69,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Sirocco,5,10,100,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Stoomcarrousel,NA,NA,99,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Stoomtrein Marerijk,14,30,96,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Stoomtrein Ruigrijk,14,30,96,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Symbolica,24,40,96,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Symbolica Single-rider,5,10,96,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Villa Volta,5,5,97,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-22,160,Vogel Rok,9,25,100,25,Quiet,27.1,26.2,0.05,0.02,3.6,4.7,NA
2025-06-23,160,Baron 1898,37,50,100,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Baron 1898 Single-rider,28,40,100,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Carnaval Festival,15,25,96,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Danse Macabre,39,50,76,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Danse Macabre Single-rider,NA,NA,73,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,De Oude Tufferbaan,NA,NA,0,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,De Vliegende Hollander,40,45,93,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,De Vliegende Hollander Single-rider,28,50,30,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Droomvlucht,33,50,97,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Fabula,10,10,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Fata Morgana,NA,NA,0,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Gondoletta,18,35,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
